symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-02-04,318.85,319.64,313.63,315.31,34154134,78.5448859769,78.7394930333,77.2590013767,77.672849294,136616536,0.0,1.0
AAPL,2020-02-05,321.45,324.76,318.95,323.52,29706718,79.1853648966,80.000743829,78.5695197816,79.6952846519,118826872,0.0,1.0
AAPL,2020-02-06,325.21,325.22,320.26,322.57,26356385,80.1115959497,80.1140593302,78.8922226219,79.4612635082,105425540,0.0,1.0
AAPL,2020-02-07,320.03,323.4,318.0,322.37,29421012,79.0252451667,79.8574017652,78.5239757617,79.6030631016,117684048,0.77,1.0
AAPL,2020-02-10,321.55,321.55,313.85,314.18,27337215,79.4005798936,79.4005798936,77.4992131849,77.5807003296,109348860,0.0,1.0
AAPL,2020-02-11,319.61,323.9,318.71,323.6,23580780,78.9215342553,79.9808671359,78.6992965881,79.9067879135,94323120,0.0,1.0
AAPL,2020-02-12,327.2,327.22,321.47,321.47,28432573,80.7957385825,80.8006771973,79.3808254343,79.3808254343,113730292,0.0,1.0
AAPL,2020-02-13,324.87,326.22,323.35,324.19,23686892,80.220389955,80.5537464559,79.8450552281,80.0524770509,94747568,0.0,1.0
AAPL,2020-02-14,324.95,325.98,322.85,324.74,20028447,80.2401444143,80.494483078,79.7215898574,80.1882889587,80113788,0.0,1.0
AAPL,2020-02-18,319.0,319.75,314.61,315.36,38190545,78.7709065031,78.9561045591,77.6868805484,77.8720786044,152762180,0.0,1.0
AAPL,2020-02-19,323.62,324.57,320.0,320.0,23495991,79.9117265283,80.1463107326,79.0178372445,79.0178372445,93983964,0.0,1.0
AAPL,2020-02-20,320.3,324.65,318.21,322.63,25141489,79.0919164669,80.1660651919,78.5758312174,79.6672650943,100565956,0.0,1.0
AAPL,2020-02-21,313.05,320.45,310.5,318.62,32426415,77.3016685918,79.1289560781,76.6719952013,78.6770728213,129705660,0.0,1.0
AAPL,2020-02-24,298.18,304.18,289.23,297.26,55548828,73.6298084674,75.1113929157,71.4197783319,73.4026321853,222195312,0.0,1.0
AAPL,2020-02-25,288.08,302.53,286.13,300.95,57668364,71.1358079793,74.7039571924,70.6542930336,74.313806621,230673456,0.0,1.0
AAPL,2020-02-26,292.65,297.88,286.5,286.53,49678431,72.2642814675,73.5557292449,70.7456574079,70.7530653302,198713724,0.0,1.0
AAPL,2020-02-27,273.52,286.0,272.96,281.1,80151381,67.5404963847,70.6221920372,67.4022151695,69.4122314044,320605524,0.0,1.0
AAPL,2020-02-28,273.36,278.41,256.37,257.26,106721230,67.5009874661,68.7479877101,63.3056341699,63.5254025297,426884920,0.0,1.0
AAPL,2020-03-02,298.81,301.44,277.72,282.28,85349339,73.7853748344,74.4348026843,68.5776054985,69.7036096793,341397356,0.0,1.0
AAPL,2020-03-03,289.32,304.0,285.8,303.67,79868852,71.4420020987,75.0669453822,70.572805889,74.9854582376,319475408,0.0,1.0
AAPL,2020-03-04,302.74,303.4,293.13,296.44,54794568,74.7558126481,74.9187869374,72.3828082233,73.2001489773,219178272,0.0,1.0
